serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
21829,180,HS6,HS6,,,
21829,,,,180,HS6,HS6
21829,180,HS7,HS7,,,
21829,,,,180,HS7,HS7
21829,180,HS8,HS8,,,
21829,,,,180,HS8,HS8
21829,180,HS9,HS9,,,
21829,,,,180,HS9,HS9
21829,180,IV40,IV40,,,
21829,,,,180,IV40,IV40
21829,180,IV41,IV41,,,
21829,,,,180,IV41,IV41
21829,180,IV42,IV42,,,
21829,,,,180,IV42,IV42
21829,180,IV43,IV43,,,
21829,,,,180,IV43,IV43
21829,180,IV44,IV44,,,
21829,,,,180,IV44,IV44
21829,180,IV45,IV45,,,
21829,,,,180,IV45,IV45
21829,180,IV46,IV46,,,
21829,,,,180,IV46,IV46
21829,180,IV47,IV47,,,
21829,,,,180,IV47,IV47
21829,180,IV48,IV48,,,
21829,,,,180,IV48,IV48
21829,180,IV49,IV49,,,
21829,,,,180,IV49,IV49
21829,180,IV50,IV50,,,
21829,,,,180,IV50,IV50
21829,180,IV51,IV51,,,
21829,,,,180,IV51,IV51
21829,180,IV55,IV55,,,
21829,,,,180,IV55,IV55
21829,180,IV56,IV56,,,
21829,,,,180,IV56,IV56
21829,180,KA27,KA27,,,
21829,,,,180,KA27,KA27
21829,180,KA28,KA28,,,
21829,,,,180,KA28,KA28
21829,180,KW15,KW15,,,
21829,,,,180,KW15,KW15
21829,180,KW16,KW16,,,
21829,,,,180,KW16,KW16
21829,180,KW17,KW17,,,
21829,,,,180,KW17,KW17
21829,180,PA20,PA20,,,
21829,,,,180,PA20,PA20
21829,180,PA41,PA41,,,
21829,,,,180,PA41,PA41
21829,180,PA42,PA42,,,
21829,,,,180,PA42,PA42
21829,180,PA43,PA43,,,
21829,,,,180,PA43,PA43
21829,180,PA44,PA44,,,
21829,,,,180,PA44,PA44
21829,180,PA45,PA45,,,
21829,,,,180,PA45,PA45
21829,180,PA46,PA46,,,
21829,,,,180,PA46,PA46
21829,180,PA47,PA47,,,
21829,,,,180,PA47,PA47
21829,180,PA48,PA48,,,
21829,,,,180,PA48,PA48
21829,180,PA49,PA49,,,
21829,,,,180,PA49,PA49
21829,180,PA60,PA60,,,
21829,,,,180,PA60,PA60
21829,180,PA61,PA61,,,
21829,,,,180,PA61,PA61
21829,180,PA62,PA62,,,
21829,,,,180,PA62,PA62
21829,180,PA63,PA63,,,
21829,,,,180,PA63,PA63
21829,180,PA64,PA64,,,
21829,,,,180,PA64,PA64
21829,180,PA65,PA65,,,
21829,,,,180,PA65,PA65
21829,180,PA66,PA66,,,
21829,,,,180,PA66,PA66
21829,180,PA67,PA67,,,
21829,,,,180,PA67,PA67
21829,180,PA68,PA68,,,
21829,,,,180,PA68,PA68
21829,180,PA69,PA69,,,
21829,,,,180,PA69,PA69
21829,180,PA70,PA70,,,
21829,,,,180,PA70,PA70
21829,180,PA71,PA71,,,
21829,,,,180,PA71,PA71
21829,180,PA72,PA72,,,
21829,,,,180,PA72,PA72
21829,180,PA73,PA73,,,
21829,,,,180,PA73,PA73
21829,180,PA74,PA74,,,
21829,,,,180,PA74,PA74
21829,180,PA75,PA75,,,
21829,,,,180,PA75,PA75
21829,180,PA76,PA76,,,
21829,,,,180,PA76,PA76
21829,180,PA77,PA77,,,
21829,,,,180,PA77,PA77
21829,180,PA78,PA78,,,
21829,,,,180,PA78,PA78
21829,180,PH42,PH42,,,
21829,,,,180,PH42,PH42
21829,180,PH43,PH43,,,
21829,,,,180,PH43,PH43
21829,180,PH44,PH44,,,
21829,,,,180,PH44,PH44
21829,180,ZE1,ZE1,,,
21829,,,,180,ZE1,ZE1
21829,180,ZE2,ZE2,,,
21829,,,,180,ZE2,ZE2
21829,180,ZE3,ZE3,,,
21829,,,,180,ZE3,ZE3
