serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
20123,113,65017,65017,,,
20123,113,66026,66026,,,
20123,113,74015,74015,,,
20123,113,75019,75019,,,
20123,113,75022,75022,,,
20123,113,83031,83031,,,
20123,113,84030,84031,,,
20123,113,84035,84036,,,
20123,113,85047,85047,,,
20123,113,86012,86012,,,
20123,113,86016,86016,,,
20123,113,86036,86036,,,
20123,113,86077,86077,,,
20123,113,86079,86079,,,
20123,113,87038,87038,,,
20123,113,87054,87054,,,
20123,113,87056,87056,,,
20123,113,87060,87060,,,
20123,113,88050,88050,,,
20123,113,88060,88060,,,
20123,113,88064,88064,,,
20123,113,88067,88067,,,
20123,113,88068,88068,,,
20123,113,88842,88842,,,
20123,113,89063,89063,,,
20123,113,89064,89064,,,
20123,113,89822,89822,,,
20123,113,89823,89823,,,
20123,113,90030,90030,,,
20123,113,91018,91018,,,
20123,113,94011,94011,,,
20123,113,25010,25040,,,
20123,113,25042,25065,,,
20123,113,25068,25089,,,
20123,113,25121,25136,,,
20123,,,,113,02043,02043
20123,,,,113,06035,06035
20123,,,,113,40059,40059
20123,,,,113,53043,53043
20123,,,,113,54031,54031
20123,,,,113,64030,64030
20123,,,,113,64033,64033
20123,,,,113,64034,64035
20123,,,,113,65010,65010
20123,,,,113,65017,65017
20123,,,,113,66026,66026
20123,,,,113,74015,74015
20123,,,,113,75019,75019
20123,,,,113,75022,75022
20123,,,,113,83031,83031
20123,,,,113,84030,84031
20123,,,,113,84035,84036
20123,,,,113,85047,85047
20123,,,,113,86012,86012
20123,,,,113,86016,86016
20123,,,,113,86036,86036
20123,,,,113,86077,86077
20123,,,,113,86079,86079
20123,,,,113,87038,87038
20123,,,,113,87054,87054
20123,,,,113,87056,87056
20123,,,,113,87060,87060
20123,,,,113,88050,88050
20123,,,,113,88060,88060
20123,,,,113,88064,88064
20123,,,,113,88067,88067
20123,,,,113,88068,88068
20123,,,,113,88842,88842
20123,,,,113,89063,89063
20123,,,,113,89064,89064
20123,,,,113,89822,89822
20123,,,,113,89823,89823
20123,,,,113,90030,90030
20123,,,,113,91018,91018
20123,,,,113,94011,94011
20123,,,,113,25010,25040
20123,,,,113,25042,25065
20123,,,,113,25068,25089
20123,,,,113,25121,25136
20235,113,02043,02043,,,
20235,113,06035,06035,,,
20235,113,40059,40059,,,
20235,113,53043,53043,,,
20235,113,54031,54031,,,
20235,113,64030,64030,,,
20235,113,64033,64033,,,
20235,113,64034,64035,,,
20235,113,65010,65010,,,
20235,113,65017,65017,,,
20235,113,66026,66026,,,
20235,113,74015,74015,,,
20235,113,75019,75019,,,
20235,113,75022,75022,,,
20235,113,83031,83031,,,
20235,113,84030,84031,,,
20235,113,84035,84036,,,
20235,113,85047,85047,,,
20235,113,86012,86012,,,
20235,113,86016,86016,,,
20235,113,86036,86036,,,
20235,113,86077,86077,,,
20235,113,86079,86079,,,
20235,113,87038,87038,,,
20235,113,87054,87054,,,
20235,113,87056,87056,,,
20235,113,87060,87060,,,
20235,113,88050,88050,,,
20235,113,88060,88060,,,
20235,113,88064,88064,,,
20235,113,88067,88067,,,
20235,113,88068,88068,,,
20235,113,88842,88842,,,
20235,113,89063,89063,,,
20235,113,89064,89064,,,
20235,113,89822,89822,,,
20235,113,89823,89823,,,
20235,113,90030,90030,,,
20235,113,91018,91018,,,
20235,113,94011,94011,,,
20235,113,25010,25040,,,
20235,113,25042,25065,,,
20235,113,25068,25089,,,
20235,113,25121,25136,,,
20235,,,,113,02043,02043
20235,,,,113,06035,06035
20235,,,,113,40059,40059
20235,,,,113,53043,53043
20235,,,,113,54031,54031
20235,,,,113,64030,64030
20235,,,,113,64033,64033
20235,,,,113,64034,64035
20235,,,,113,65010,65010
20235,,,,113,65017,65017
20235,,,,113,66026,66026
20235,,,,113,74015,74015
20235,,,,113,75019,75019
20235,,,,113,75022,75022
20235,,,,113,83031,83031
20235,,,,113,84030,84031
20235,,,,113,84035,84036
20235,,,,113,85047,85047
20235,,,,113,86012,86012
20235,,,,113,86016,86016
20235,,,,113,86036,86036
20235,,,,113,86077,86077
20235,,,,113,86079,86079
20235,,,,113,87038,87038
20235,,,,113,87054,87054
20235,,,,113,87056,87056
20235,,,,113,87060,87060
20235,,,,113,88050,88050
20235,,,,113,88060,88060
20235,,,,113,88064,88064
20235,,,,113,88067,88067
20235,,,,113,88068,88068
20235,,,,113,88842,88842
20235,,,,113,89063,89063
20235,,,,113,89064,89064
20235,,,,113,89822,89822
20235,,,,113,89823,89823
20235,,,,113,90030,90030
20235,,,,113,91018,91018
20235,,,,113,94011,94011
20235,,,,113,25010,25040
20235,,,,113,25042,25065
20235,,,,113,25068,25089
20235,,,,113,25121,25136
20237,113,02043,02043,,,
20237,113,06035,06035,,,
20237,113,40059,40059,,,
20237,113,53043,53043,,,
20237,113,54031,54031,,,
20237,113,64030,64030,,,
20237,113,64033,64033,,,
20237,113,64034,64035,,,
20237,113,65010,65010,,,
20237,113,65017,65017,,,
20237,113,66026,66026,,,
20237,113,74015,74015,,,
20237,113,75019,75019,,,
20237,113,75022,75022,,,
20237,113,83031,83031,,,
20237,113,84030,84031,,,
20237,113,84035,84036,,,
20237,113,85047,85047,,,
20237,113,86012,86012,,,
20237,113,86016,86016,,,
20237,113,86036,86036,,,
20237,113,86077,86077,,,
20237,113,86079,86079,,,
20237,113,87038,87038,,,
20237,113,87054,87054,,,
20237,113,87056,87056,,,
20237,113,87060,87060,,,
20237,113,88050,88050,,,
20237,113,88060,88060,,,
20237,113,88064,88064,,,
20237,113,88067,88067,,,
20237,113,88068,88068,,,
20237,113,88842,88842,,,
20237,113,89063,89063,,,
20237,113,89064,89064,,,
20237,113,89822,89822,,,
20237,113,89823,89823,,,
20237,113,90030,90030,,,
20237,113,91018,91018,,,
20237,113,94011,94011,,,
20237,113,25010,25040,,,
20237,113,25042,25065,,,
20237,113,25068,25089,,,
20237,113,25121,25136,,,
20237,,,,113,02043,02043
20237,,,,113,06035,06035
20237,,,,113,40059,40059
20237,,,,113,53043,53043
20237,,,,113,54031,54031
20237,,,,113,64030,64030
20237,,,,113,64033,64033
20237,,,,113,64034,64035
20237,,,,113,65010,65010
20237,,,,113,65017,65017
20237,,,,113,66026,66026
20237,,,,113,74015,74015
20237,,,,113,75019,75019
20237,,,,113,75022,75022
20237,,,,113,83031,83031
20237,,,,113,84030,84031
20237,,,,113,84035,84036
20237,,,,113,85047,85047
20237,,,,113,86012,86012
20237,,,,113,86016,86016
20237,,,,113,86036,86036
20237,,,,113,86077,86077
20237,,,,113,86079,86079
20237,,,,113,87038,87038
20237,,,,113,87054,87054
20237,,,,113,87056,87056
20237,,,,113,87060,87060
20237,,,,113,88050,88050
20237,,,,113,88060,88060
20237,,,,113,88064,88064
20237,,,,113,88067,88067
20237,,,,113,88068,88068
20237,,,,113,88842,88842
20237,,,,113,89063,89063
20237,,,,113,89064,89064
20237,,,,113,89822,89822
20237,,,,113,89823,89823
20237,,,,113,90030,90030
20237,,,,113,91018,91018
20237,,,,113,94011,94011
20237,,,,113,25010,25040
20237,,,,113,25042,25065
20237,,,,113,25068,25089
20237,,,,113,25121,25136
20593,113,02043,02043,,,
20593,113,06035,06035,,,
20593,113,40059,40059,,,
20593,113,53043,53043,,,
20593,113,54031,54031,,,
20593,113,64030,64030,,,
20593,113,64033,64033,,,
20593,113,64034,64035,,,
20593,113,65010,65010,,,
20593,113,65017,65017,,,
20593,113,66026,66026,,,
20593,113,74015,74015,,,
20593,113,75019,75019,,,
20593,113,75022,75022,,,
20593,113,83031,83031,,,
20593,113,84030,84031,,,
20593,113,84035,84036,,,
20593,113,85047,85047,,,
20593,113,86012,86012,,,
20593,113,86016,86016,,,
20593,113,86036,86036,,,
20593,113,86077,86077,,,
20593,113,86079,86079,,,
20593,113,87038,87038,,,
20593,113,87054,87054,,,
20593,113,87056,87056,,,
20593,113,87060,87060,,,
20593,113,88050,88050,,,
20593,113,88060,88060,,,
20593,113,88064,88064,,,
20593,113,88067,88067,,,
20593,113,88068,88068,,,
20593,113,88842,88842,,,
20593,113,89063,89063,,,
20593,113,89064,89064,,,
20593,113,89822,89822,,,
20593,113,89823,89823,,,
20593,113,90030,90030,,,
20593,113,91018,91018,,,
20593,113,94011,94011,,,
20593,113,25010,25040,,,
20593,113,25042,25065,,,
20593,113,25068,25089,,,
20593,113,25121,25136,,,
20593,,,,113,02043,02043
20593,,,,113,06035,06035
20593,,,,113,40059,40059
20593,,,,113,53043,53043
20593,,,,113,54031,54031
20593,,,,113,64030,64030
20593,,,,113,64033,64033
20593,,,,113,64034,64035
20593,,,,113,65010,65010
20593,,,,113,65017,65017
20593,,,,113,66026,66026
20593,,,,113,74015,74015
20593,,,,113,75019,75019
20593,,,,113,75022,75022
20593,,,,113,83031,83031
20593,,,,113,84030,84031
20593,,,,113,84035,84036
20593,,,,113,85047,85047
20593,,,,113,86012,86012
20593,,,,113,86016,86016
20593,,,,113,86036,86036
20593,,,,113,86077,86077
20593,,,,113,86079,86079
20593,,,,113,87038,87038
20593,,,,113,87054,87054
20593,,,,113,87056,87056
20593,,,,113,87060,87060
20593,,,,113,88050,88050
20593,,,,113,88060,88060
20593,,,,113,88064,88064
20593,,,,113,88067,88067
20593,,,,113,88068,88068
20593,,,,113,88842,88842
20593,,,,113,89063,89063
20593,,,,113,89064,89064
20593,,,,113,89822,89822
20593,,,,113,89823,89823
20593,,,,113,90030,90030
20593,,,,113,91018,91018
20593,,,,113,94011,94011
20593,,,,113,25010,25040
20593,,,,113,25042,25065
20593,,,,113,25068,25089
20593,,,,113,25121,25136
20595,113,02043,02043,,,
20595,113,06035,06035,,,
20595,113,40059,40059,,,
20595,113,53043,53043,,,
20595,113,54031,54031,,,
20595,113,64030,64030,,,
20595,113,64033,64033,,,
20595,113,64034,64035,,,
20595,113,65010,65010,,,
20595,113,65017,65017,,,
20595,113,66026,66026,,,
20595,113,74015,74015,,,
20595,113,75019,75019,,,
20595,113,75022,75022,,,
20595,113,83031,83031,,,
20595,113,84030,84031,,,
20595,113,84035,84036,,,
20595,113,85047,85047,,,
20595,113,86012,86012,,,
20595,113,86016,86016,,,
20595,113,86036,86036,,,
20595,113,86077,86077,,,
20595,113,86079,86079,,,
20595,113,87038,87038,,,
20595,113,87054,87054,,,
20595,113,87056,87056,,,
20595,113,87060,87060,,,
20595,113,88050,88050,,,
20595,113,88060,88060,,,
20595,113,88064,88064,,,
20595,113,88067,88067,,,
20595,113,88068,88068,,,
20595,113,88842,88842,,,
20595,113,89063,89063,,,
20595,113,89064,89064,,,
20595,113,89822,89822,,,
20595,113,89823,89823,,,
20595,113,90030,90030,,,
20595,113,91018,91018,,,
20595,113,94011,94011,,,
20595,113,25010,25040,,,
20595,113,25042,25065,,,
20595,113,25068,25089,,,
20595,113,25121,25136,,,
20595,,,,113,02043,02043
20595,,,,113,06035,06035
20595,,,,113,40059,40059
20595,,,,113,53043,53043
20595,,,,113,54031,54031
20595,,,,113,64030,64030
20595,,,,113,64033,64033
20595,,,,113,64034,64035
20595,,,,113,65010,65010
20595,,,,113,65017,65017
20595,,,,113,66026,66026
20595,,,,113,74015,74015
20595,,,,113,75019,75019
20595,,,,113,75022,75022
20595,,,,113,83031,83031
20595,,,,113,84030,84031
20595,,,,113,84035,84036
20595,,,,113,85047,85047
20595,,,,113,86012,86012
20595,,,,113,86016,86016
20595,,,,113,86036,86036
20595,,,,113,86077,86077
20595,,,,113,86079,86079
20595,,,,113,87038,87038
20595,,,,113,87054,87054
20595,,,,113,87056,87056
20595,,,,113,87060,87060
20595,,,,113,88050,88050
20595,,,,113,88060,88060
20595,,,,113,88064,88064
20595,,,,113,88067,88067
20595,,,,113,88068,88068
20595,,,,113,88842,88842
20595,,,,113,89063,89063
20595,,,,113,89064,89064
20595,,,,113,89822,89822
20595,,,,113,89823,89823
20595,,,,113,90030,90030
20595,,,,113,91018,91018
20595,,,,113,94011,94011
20595,,,,113,25010,25040
20595,,,,113,25042,25065
20595,,,,113,25068,25089
20595,,,,113,25121,25136
20591,113,02043,02043,,,
20591,113,06035,06035,,,
20591,113,40059,40059,,,
20591,113,53043,53043,,,
20591,113,54031,54031,,,
20591,113,64030,64030,,,
20591,113,64033,64033,,,
20591,113,64034,64035,,,
20591,113,65010,65010,,,
20591,113,65017,65017,,,
20591,113,66026,66026,,,
20591,113,74015,74015,,,
20591,113,75019,75019,,,
20591,113,75022,75022,,,
20591,113,83031,83031,,,
20591,113,84030,84031,,,
20591,113,84035,84036,,,
20591,113,85047,85047,,,
20591,113,86012,86012,,,
20591,113,86016,86016,,,
20591,113,86036,86036,,,
20591,113,86077,86077,,,
20591,113,86079,86079,,,
20591,113,87038,87038,,,
20591,113,87054,87054,,,
20591,113,87056,87056,,,
20591,113,87060,87060,,,
20591,113,88050,88050,,,
20591,113,88060,88060,,,
20591,113,88064,88064,,,
20591,113,88067,88067,,,
20591,113,88068,88068,,,
20591,113,88842,88842,,,
20591,113,89063,89063,,,
20591,113,89064,89064,,,
20591,113,89822,89822,,,
20591,113,89823,89823,,,
20591,113,90030,90030,,,
20591,113,91018,91018,,,
20591,113,94011,94011,,,
20591,113,25010,25040,,,
20591,113,25042,25065,,,
20591,113,25068,25089,,,
20591,113,25121,25136,,,
20591,,,,113,02043,02043
20591,,,,113,06035,06035
20591,,,,113,40059,40059
20591,,,,113,53043,53043
20591,,,,113,54031,54031
20591,,,,113,64030,64030
20591,,,,113,64033,64033
20591,,,,113,64034,64035
20591,,,,113,65010,65010
20591,,,,113,65017,65017
20591,,,,113,66026,66026
20591,,,,113,74015,74015
20591,,,,113,75019,75019
20591,,,,113,75022,75022
20591,,,,113,83031,83031
20591,,,,113,84030,84031
20591,,,,113,84035,84036
20591,,,,113,85047,85047
20591,,,,113,86012,86012
20591,,,,113,86016,86016
20591,,,,113,86036,86036
20591,,,,113,86077,86077
20591,,,,113,86079,86079
20591,,,,113,87038,87038
20591,,,,113,87054,87054
20591,,,,113,87056,87056
20591,,,,113,87060,87060
20591,,,,113,88050,88050
20591,,,,113,88060,88060
20591,,,,113,88064,88064
20591,,,,113,88067,88067
20591,,,,113,88068,88068
20591,,,,113,88842,88842
20591,,,,113,89063,89063
20591,,,,113,89064,89064
20591,,,,113,89822,89822
20591,,,,113,89823,89823
20591,,,,113,90030,90030
20591,,,,113,91018,91018
20591,,,,113,94011,94011
20591,,,,113,25010,25040
20591,,,,113,25042,25065
20591,,,,113,25068,25089
20591,,,,113,25121,25136
20233,113,02043,02043,,,
