serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
,,,,186,783 24,783 24
,,,,186,783 91,783 91
,,,,186,784 01,784 01
,,,,186,789 75,789 75
,,,,65,08280,08283
,,,,65,08289,08289
,,,,65,08293,08294
,,,,65,08712,08712
,,,,65,08717,08719
,,,,65,08773,08773
,,,,65,08777,08777
,,,,65,08779,08779
,,,,65,08781,08781
,,,,65,08783,08787
,,,,65,08789,08789
,,,,175,3880-000,3880-999
,,,,175,3884-000,3884-999
,,,,175,3885-000,3885-999
